datetime,open,high,low,close,volume,return
20250613,199.83,200.37,195.7,196.45,785048,-0.013805220883534086
20250616,197.28,198.69,196.56,198.42,617126,0.01002799694578771
20250617,197.2,198.39,195.21,195.64,541348,-0.014010684406813856
20250618,195.92,197.57,195.07,196.58,636094,0.004804743406256584
20250620,198.12,201.7,196.85,201.0,1163980,0.02248448468816755
20250623,201.59,202.3,198.96,201.5,695777,0.0024875621890547706
20250624,202.59,203.44,200.2,200.3,839989,-0.005955334987593042
20250625,201.42,203.67,200.62,201.56,587021,0.006290564153769385
20250626,201.44,202.64,199.46,201.0,787607,-0.0027783290335383626
20250627,201.92,203.22,200.0,201.08,817642,0.0003980099502487455
20250630,201.99,207.39,199.26,205.17,1352567,0.02034016311915643
20250701,206.72,210.19,206.14,207.82,1291760,0.012916118340888127
20250702,208.99,213.34,208.14,212.44,1192744,0.022230776633625382
20250703,212.07,214.65,211.81,213.55,547841,0.005225004707211545
20250707,212.72,216.23,208.8,209.95,764940,-0.016857878716928232
20250708,210.1,211.43,208.45,210.01,615410,0.0002857823291260164
20250709,209.53,211.33,207.22,211.14,765581,0.005380696157325726
20250710,210.44,213.48,210.03,212.41,709568,0.006014966373022679
20250711,210.43,212.13,209.86,211.16,538957,-0.005884845346264322
20250714,209.93,210.91,207.54,208.62,598290,-0.012028793332070409
20250715,209.22,211.89,208.92,209.11,595866,0.0023487680951010947
20250716,210.3,212.4,208.64,210.16,651430,0.005021280665678196
20250717,210.72,211.8,209.59,210.02,720798,-0.0006661591168632963
20250718,210.66,211.79,209.7,211.18,667742,0.00552328349680975
20250721,212.14,215.78,211.63,212.48,796881,0.006155885974050479
20250722,213.29,214.95,212.23,214.4,710868,0.009036144578313365
20250723,215.09,215.15,212.41,214.15,700787,-0.0011660447761193682
20250724,213.9,215.69,213.53,213.76,692273,-0.0018211533971516092
20250725,214.64,215.24,213.4,213.88,560899,0.0005613772455090871
20250728,214.0,214.85,213.06,214.05,524490,0.000794838227043293
20250729,214.16,214.81,210.89,211.27,705378,-0.012987619715019827
20250730,211.9,212.39,207.72,209.05,544905,-0.010507880910682998
20250731,208.49,209.84,207.16,207.57,883482,-0.0070796460176991705
20250801,210.95,213.58,201.5,202.38,1529872,-0.02500361323890732
20250804,204.46,207.88,201.67,203.35,1039389,0.004792963731593991
20250805,203.4,205.34,202.16,202.92,650410,-0.002114580772067942
20250806,205.63,215.38,205.59,213.25,1724623,0.050906761285235635
20250807,218.89,220.85,216.58,220.03,1514160,0.03179366940211015
20250808,220.86,231.0,219.25,229.35,2032033,0.04235786029177846
20250811,227.93,229.56,224.76,227.18,936168,-0.009461521691737418
20250812,228.01,230.8,227.07,229.65,788904,0.01087243595386922
20250813,231.05,235.0,230.43,233.33,1086939,0.016024384933594593
20250814,234.01,235.06,230.85,232.78,733453,-0.0023571765310933523
20250815,234.0,234.28,229.36,231.59,699406,-0.005112123034624938
20250818,231.77,233.12,230.11,230.89,535476,-0.0030225830130835574
20250819,231.28,232.87,229.35,230.56,529118,-0.0014292520247736196
20250820,229.97,230.47,225.77,226.01,585061,-0.019734559333795976
20250821,226.27,226.52,223.78,224.9,473561,-0.0049112871111897105
20250822,226.17,229.09,225.41,227.76,579960,0.012716763005780285
20250825,226.48,229.3,226.23,227.16,464030,-0.0026343519494204104
20250826,226.86,229.49,224.69,229.31,497958,0.009464694488466208
20250827,228.69,230.9,228.26,230.49,454549,0.005145872399808127
20250828,230.82,233.41,229.33,232.56,518043,0.008980866848887104
20250829,232.55,233.38,231.37,232.14,526854,-0.001805985552115641
20250902,229.25,230.85,226.97,229.72,564017,-0.010424743689153027
20250903,237.21,238.85,234.36,238.47,1046905,0.038089848511231095
20250904,238.45,239.9,236.74,239.78,683144,0.005493353461651473
20250905,240.0,241.32,238.49,239.69,805797,-0.00037534406539330156
20250908,239.3,240.15,236.34,237.88,707747,-0.007551420584922197
20250909,237.0,238.79,233.36,234.35,1128639,-0.014839414831007258
20250910,231.97,232.42,225.95,226.79,1294134,-0.03225944100704081
20250911,226.84,230.45,226.65,230.03,734361,0.014286344195070466
20250912,229.3,234.51,229.02,234.07,824294,0.017562926574794524
20250915,237.0,238.19,235.03,236.7,674972,0.011235955056179803
20250916,237.12,241.22,236.32,238.15,927464,0.006125897760878907
20250917,238.97,240.1,237.73,238.99,628649,0.0035271887465881946
20250918,239.96,241.2,236.65,237.88,620712,-0.004644545796895327
20250919,241.2,246.27,240.21,245.5,1634018,0.03203295779384563
